variable,group,Total,yMOD,ySIDD,ySIRD
bmi,NA,32.8 (7.8),33.3 (4.3),24 (6.1),38.5 (7.2)
hba1c,NA,"6.1 (5.6, 7.1)","5.8 (5.4, 6.3)","7.3 (6.3, 8.5)","6.2 (5.8, 7.3)"
cpeptidef,NA,3.5 (2),3.5 (1.5),1.5 (1),5 (1.8)
sbp,NA,113.3 (11.8),109.1 (9.2),108.3 (10.8),123.3 (9.7)
dbp,NA,68.6 (9.7),64.1 (7.3),68.2 (8.8),75.8 (9.2)
ldlc,NA,89.7 (27.2),82.1 (23.9),94.8 (27),97.5 (28.9)
hdlc,NA,40.7 (10.4),37.8 (7.6),51.8 (10.8),37.1 (8.2)
totalc,NA,154 (35),141.9 (30.1),165 (32.3),164.6 (37.9)
insulinf,NA,30.1 (22.2),25.4 (18),21.9 (10),43.1 (27.2)
tgl,NA,107.7 (67.1),99.9 (57.2),76.9 (34),131.6 (85.2)
glucosef,NA,106.5 (21.3),102.3 (18.3),124.8 (28.8),114 (23.7)
female,NA,722 (56.5%),338 (62.4%),160 (47.5%),224 (54%)
insulin,NA,719 (31.4%),337 (13.6%),159 (77.4%),223 (25.6%)
metformin,NA,719 (74.5%),337 (88.4%),159 (30.2%),223 (85.2%)
cluster,Total,NA,NA,NA,NA
cluster,yMOD,NA,NA,NA,NA
cluster,ySIDD,NA,NA,NA,NA
cluster,ySIRD,NA,NA,NA,NA
study,SEARCH,385 (53.3%),108 (32%),146 (91.2%),131 (58.5%)
study,TODAY,337 (46.7%),230 (68%),14 (8.8%),93 (41.5%)
dmduration_category,<=5 months,722 (100%),338 (100%),160 (100%),224 (100%)
age_category,14-15,157 (21.7%),75 (22.2%),32 (20%),50 (22.3%)
age_category,<=13,294 (40.7%),132 (39.1%),75 (46.9%),87 (38.8%)
age_category,>15,271 (37.5%),131 (38.8%),53 (33.1%),87 (38.8%)
race_eth,Hispanic,221 (30.6%),130 (38.5%),30 (18.8%),61 (27.2%)
race_eth,NH Black,217 (30.1%),91 (26.9%),39 (24.4%),87 (38.8%)
race_eth,NH Other,58 (8%),29 (8.6%),10 (6.2%),19 (8.5%)
race_eth,NH White,226 (31.3%),88 (26%),81 (50.6%),57 (25.4%)
