term,survey_abnormal,exam_abnormal,combined_abnormal,unadjusted survey_abnormal,unadjusted exam_abnormal,unadjusted combined_abnormal,subset
clusterySIDD,"0.76 (0.37, 1.58)","2.58 (1.74, 3.81)","1.89 (1.35, 2.63)","0.92 (0.44, 1.93)","2.73 (1.84, 4.04)","2.02 (1.45, 2.81)",etiologic main clusters
clusterySIRD,"1.01 (0.59, 1.73)","2.02 (1.4, 2.93)","1.72 (1.28, 2.31)","1.2 (0.7, 2.05)","2.3 (1.59, 3.34)","1.91 (1.42, 2.57)",etiologic main clusters
clusterySIDD,"0.77 (0.37, 1.59)","3.11 (2.02, 4.8)","1.99 (1.39, 2.85)",NA,NA,NA,etiologic complete cases
clusterySIRD,"0.96 (0.55, 1.66)","2.27 (1.51, 3.42)","1.74 (1.26, 2.39)",NA,NA,NA,etiologic complete cases
clusterySIDD,"0.62 (0.27, 1.42)","1.11 (0.81, 1.51)","1.11 (0.83, 1.49)",NA,NA,NA,etiologic search only
clusterySIRD,"0.75 (0.37, 1.51)","1.06 (0.79, 1.44)","1.11 (0.85, 1.46)",NA,NA,NA,etiologic search only
clusterySIDD,"0.9 (0.45, 1.77)","2.65 (1.86, 3.78)","2.04 (1.51, 2.75)",NA,NA,NA,factorial main clusters
clusterySIRD,"1.18 (0.69, 2)","1.88 (1.33, 2.67)","1.66 (1.25, 2.21)",NA,NA,NA,factorial main clusters
clusterySIDD,"0.94 (0.48, 1.85)","3.4 (2.31, 5)","2.3 (1.67, 3.16)",NA,NA,NA,factorial complete cases
clusterySIRD,"1.09 (0.64, 1.87)","2.15 (1.46, 3.15)","1.7 (1.25, 2.32)",NA,NA,NA,factorial complete cases
clusterySIDD,"0.71 (0.29, 1.77)","1.06 (0.78, 1.44)","1.06 (0.79, 1.43)",NA,NA,NA,factorial search only
clusterySIRD,"1.04 (0.5, 2.17)","1.08 (0.8, 1.45)","1.13 (0.86, 1.49)",NA,NA,NA,factorial search only
clusterySIDD,"1.05 (0.53, 2.09)","1.98 (1.27, 3.09)","1.55 (1.06, 2.25)",NA,NA,NA,prov main clusters
clusterySIRD,"1.25 (0.71, 2.19)","2.22 (1.51, 3.26)","1.9 (1.4, 2.57)",NA,NA,NA,prov main clusters
clusterySIDD,"1.01 (0.51, 2.01)","2.16 (1.32, 3.52)","1.5 (0.99, 2.26)",NA,NA,NA,prov complete cases
clusterySIRD,"1.18 (0.67, 2.1)","2.5 (1.65, 3.79)","1.92 (1.39, 2.67)",NA,NA,NA,prov complete cases
clusterySIDD,"1.15 (0.45, 2.97)","0.95 (0.65, 1.4)","1.01 (0.7, 1.43)",NA,NA,NA,prov search only
clusterySIRD,"1.07 (0.47, 2.4)","1.19 (0.87, 1.64)","1.23 (0.92, 1.66)",NA,NA,NA,prov search only
