variable,group,Total,search_included,search_excluded,today_included
bmi,NA,31.8 (8.1),31.3 (10.1),22.4 (5),34.5 (2.6)
hba1c,NA,"6.1 (5.6, 7.1)","6.5 (5.8, 8.1)","NA (NA, NA)","5.9 (5.4, 6.3)"
cpeptidef,NA,3.5 (2),3.2 (2.2),NA (NA),3.8 (1.6)
sbp,NA,112.7 (12),113.6 (12.8),107 (11.8),113 (10.7)
dbp,NA,68.5 (9.6),70.4 (10.3),67.3 (8.8),66.7 (8.6)
ldlc,NA,89.8 (27.5),95.6 (29.3),NA (NA),83.4 (23.9)
hdlc,NA,40.6 (10.4),42.1 (11.4),NA (NA),38.9 (9)
totalc,NA,154 (35),163.7 (37.5),NA (NA),143.4 (28.6)
insulinf,NA,30.1 (22.2),NA (NA),NA (NA),30.1 (22.2)
tgl,NA,107.7 (67.1),NA (NA),NA (NA),107.7 (67.1)
glucosef,NA,106.5 (21.3),NA (NA),NA (NA),106.5 (21.3)
female,NA,799 (56.9%),385 (53.2%),77 (61%),337 (60.2%)
insulin,NA,795 (37%),382 (59.2%),76 (89.5%),337 (0%)
metformin,NA,795 (68.3%),382 (52.1%),76 (9.2%),337 (100%)
dmfamilyhistory,NA,799 (64.6%),385 (48.3%),77 (39%),337 (89%)
study,SEARCH,462 (57.8%),385 (100%),77 (100%),NA
study,TODAY,337 (42.2%),NA,NA,337 (100%)
dmduration_category,<=5 months,799 (100%),385 (100%),77 (100%),337 (100%)
age_category,14-15,165 (20.7%),54 (14%),8 (10.4%),103 (30.6%)
age_category,<=13,346 (43.3%),157 (40.8%),52 (67.5%),137 (40.7%)
age_category,>15,288 (36%),174 (45.2%),17 (22.1%),97 (28.8%)
race_eth,Hispanic,233 (29.2%),80 (20.8%),12 (15.6%),141 (41.8%)
race_eth,NH Black,229 (28.7%),124 (32.2%),12 (15.6%),93 (27.6%)
race_eth,NH Other,61 (7.6%),29 (7.5%),3 (3.9%),29 (8.6%)
race_eth,NH White,276 (34.5%),152 (39.5%),50 (64.9%),74 (22%)
bmipct,<98.5,431 (53.9%),216 (56.1%),72 (93.5%),143 (42.4%)
bmipct,>=98.5,368 (46.1%),169 (43.9%),5 (6.5%),194 (57.6%)
