variable,group,Total,Female_yMOD,Male_yMOD,Female_ySIDD,Male_ySIDD,Female_ySIRD,Male_ySIRD
bmi,NA,34.5 (6.5),33.7 (3.4),33.2 (4.2),30.6 (4.8),27.2 (7.2),39.1 (7.4),38.4 (7.1)
hba1c,NA,"6.1 (5.6, 7)","5.8 (5.4, 6.3)","5.6 (5.3, 6.1)","7.4 (5.8, 9.1)","7.7 (6.6, 8.7)","6.2 (5.8, 7.1)","6.3 (5.9, 7.5)"
cpeptidef,NA,3.8 (1.8),3.7 (1.5),3.3 (1.3),2.4 (1.1),1.7 (1.1),5.1 (1.7),5 (2)
sbp,NA,114.2 (11.6),107.6 (8.1),112.1 (9.6),109.2 (10.3),110.3 (10.1),122.7 (9.8),125.4 (8.7)
dbp,NA,68.8 (9.7),63.9 (7.2),64.6 (7.7),67.5 (7.4),68.3 (9.2),76.6 (9.2),75.7 (9.1)
ldlc,NA,90.7 (27.9),80 (21.5),80.5 (23.2),108.6 (29.9),110.6 (30.8),97.1 (28.7),94 (26.2)
hdlc,NA,39.2 (9.2),37.8 (7.4),36.1 (7),48.1 (9.8),48.4 (9.3),40 (7.6),33.9 (7.9)
totalc,NA,154.8 (36.1),140.8 (26.7),139.2 (29.7),181.4 (35.1),182.1 (39.2),163.8 (38),160.7 (34.5)
insulinf,NA,30.1 (22.2),26.9 (16.7),25.1 (20.8),19.4 (10.1),21.7 (11.3),43.2 (22.1),43.7 (33.8)
tgl,NA,107.7 (67.1),103 (56.4),97.8 (59.5),87.1 (45.9),68.1 (17),127.5 (76.6),139.9 (98.9)
glucosef,NA,106.5 (21.3),100.4 (17),104.4 (19.6),116.7 (25.4),119.1 (29.1),115.8 (22.7),113.7 (25.6)
female,NA,641 (58.2%),189 (100%),122 (0%),72 (100%),48 (0%),112 (100%),98 (0%)
insulin,NA,639 (24.7%),189 (10.1%),121 (14.9%),72 (51.4%),48 (66.7%),112 (27.7%),97 (21.6%)
metformin,NA,639 (82.3%),189 (91.5%),121 (89.3%),72 (65.3%),48 (39.6%),112 (85.7%),97 (85.6%)
cluster,yMOD,311 (48.5%),189 (100%),122 (100%),NA,NA,NA,NA
cluster,ySIDD,120 (18.7%),NA,NA,72 (100%),48 (100%),NA,NA
cluster,ySIRD,210 (32.8%),NA,NA,NA,NA,112 (100%),98 (100%)
study,SEARCH,304 (47.4%),52 (27.5%),34 (27.9%),53 (73.6%),41 (85.4%),65 (58%),59 (60.2%)
study,TODAY,337 (52.6%),137 (72.5%),88 (72.1%),19 (26.4%),7 (14.6%),47 (42%),39 (39.8%)
dmduration_category,<=5 months,641 (100%),189 (100%),122 (100%),72 (100%),48 (100%),112 (100%),98 (100%)
age_category,14-15,146 (22.8%),35 (18.5%),37 (30.3%),20 (27.8%),8 (16.7%),23 (20.5%),23 (23.5%)
age_category,<=13,245 (38.2%),95 (50.3%),25 (20.5%),27 (37.5%),21 (43.8%),49 (43.8%),28 (28.6%)
age_category,>15,250 (39%),59 (31.2%),60 (49.2%),25 (34.7%),19 (39.6%),40 (35.7%),47 (48%)
race_eth,Hispanic,208 (32.4%),80 (42.3%),47 (38.5%),17 (23.6%),10 (20.8%),24 (21.4%),30 (30.6%)
race_eth,NH Black,205 (32%),55 (29.1%),25 (20.5%),30 (41.7%),12 (25%),50 (44.6%),33 (33.7%)
race_eth,NH Other,56 (8.7%),19 (10.1%),8 (6.6%),6 (8.3%),4 (8.3%),8 (7.1%),11 (11.2%)
race_eth,NH White,172 (26.8%),35 (18.5%),42 (34.4%),19 (26.4%),22 (45.8%),30 (26.8%),24 (24.5%)
