variable,group,Total,search_included,search_excluded,today_included
bmi,NA,33.2 (7.4),34.4 (9.1),22.4 (5),34.5 (2.6)
hba1c,NA,"6.1 (5.5, 7)","6.6 (5.8, 8.3)","NA (NA, NA)","5.9 (5.4, 6.3)"
cpeptidef,NA,3.8 (1.9),3.8 (2.2),NA (NA),3.8 (1.6)
sbp,NA,113.4 (11.8),115.5 (12.5),107 (11.8),113 (10.7)
dbp,NA,68.6 (9.7),71.2 (10.4),67.3 (8.8),66.7 (8.6)
ldlc,NA,90.6 (28.3),99.1 (30.7),NA (NA),83.4 (23.9)
hdlc,NA,39.2 (9.2),39.5 (9.5),NA (NA),38.9 (9)
totalc,NA,154.8 (36.1),168.3 (39.3),NA (NA),143.4 (28.6)
insulinf,NA,30.1 (22.2),NA (NA),NA (NA),30.1 (22.2)
tgl,NA,107.7 (67.1),NA (NA),NA (NA),107.7 (67.1)
glucosef,NA,106.5 (21.3),NA (NA),NA (NA),106.5 (21.3)
female,NA,718 (58.5%),304 (55.9%),77 (61%),337 (60.2%)
insulin,NA,715 (31.6%),302 (52.3%),76 (89.5%),337 (0%)
metformin,NA,715 (74.5%),302 (62.6%),76 (9.2%),337 (100%)
dmfamilyhistory,NA,718 (67.5%),304 (51%),77 (39%),337 (89%)
study,SEARCH,381 (53.1%),304 (100%),77 (100%),NA
study,TODAY,337 (46.9%),NA,NA,337 (100%)
dmduration_category,<=5 months,718 (100%),304 (100%),77 (100%),337 (100%)
age_category,14-15,154 (21.4%),43 (14.1%),8 (10.4%),103 (30.6%)
age_category,<=13,297 (41.4%),108 (35.5%),52 (67.5%),137 (40.7%)
age_category,>15,267 (37.2%),153 (50.3%),17 (22.1%),97 (28.8%)
race_eth,Hispanic,220 (30.6%),67 (22%),12 (15.6%),141 (41.8%)
race_eth,NH Black,217 (30.2%),112 (36.8%),12 (15.6%),93 (27.6%)
race_eth,NH Other,59 (8.2%),27 (8.9%),3 (3.9%),29 (8.6%)
race_eth,NH White,222 (30.9%),98 (32.2%),50 (64.9%),74 (22%)
bmipct,<98.5,351 (48.9%),136 (44.7%),72 (93.5%),143 (42.4%)
bmipct,>=98.5,367 (51.1%),168 (55.3%),5 (6.5%),194 (57.6%)
