variable,group,Total,Female_search,Male_search,Female_today,Male_today
bmi,NA,34.5 (6.5),35.1 (8.5),33.4 (9.8),34.5 (2.6),34.6 (2.6)
hba1c,NA,"6.1 (5.6, 7)","6.4 (5.8, 8.1)","6.8 (6, 8.4)","5.9 (5.5, 6.4)","5.8 (5.4, 6.2)"
cpeptidef,NA,3.8 (1.8),3.9 (2),3.5 (2.3),3.9 (1.6),3.7 (1.5)
sbp,NA,114.2 (11.6),113.5 (12.1),118 (12.3),111.5 (10.5),115.3 (10.5)
dbp,NA,68.8 (9.7),70.3 (10.1),72.2 (10.5),66.8 (8.9),66.5 (8.2)
ldlc,NA,90.7 (27.9),99.5 (30.3),98.1 (29.3),83.3 (23.4),83.6 (24.7)
hdlc,NA,39.2 (9.2),40.7 (8.4),38.2 (10.3),40.3 (9.3),36.8 (8.2)
totalc,NA,154.8 (36.1),168.5 (40.1),168 (38.4),144.8 (27.9),141.3 (29.7)
insulinf,NA,30.1 (22.2),NA (NA),NA (NA),30 (19.1),30.3 (26.3)
tgl,NA,107.7 (67.1),NA (NA),NA (NA),107.2 (61.7),108.5 (74.6)
glucosef,NA,106.5 (21.3),NA (NA),NA (NA),105.5 (20.6),107.9 (22.4)
female,NA,641 (58.2%),170 (100%),134 (0%),203 (100%),134 (0%)
insulin,NA,639 (24.7%),170 (51.2%),132 (53.8%),203 (0%),134 (0%)
metformin,NA,639 (82.3%),170 (66.5%),132 (57.6%),203 (100%),134 (100%)
cluster,yMOD,311 (48.5%),52 (30.6%),34 (25.4%),137 (67.5%),88 (65.7%)
cluster,ySIDD,120 (18.7%),53 (31.2%),41 (30.6%),19 (9.4%),7 (5.2%)
cluster,ySIRD,210 (32.8%),65 (38.2%),59 (44%),47 (23.2%),39 (29.1%)
study,SEARCH,304 (47.4%),170 (100%),134 (100%),NA,NA
study,TODAY,337 (52.6%),NA,NA,203 (100%),134 (100%)
dmduration_category,<=5 months,641 (100%),170 (100%),134 (100%),203 (100%),134 (100%)
age_category,14-15,146 (22.8%),24 (14.1%),19 (14.2%),54 (26.6%),49 (36.6%)
age_category,<=13,245 (38.2%),72 (42.4%),36 (26.9%),99 (48.8%),38 (28.4%)
age_category,>15,250 (39%),74 (43.5%),79 (59%),50 (24.6%),47 (35.1%)
race_eth,Hispanic,208 (32.4%),36 (21.2%),31 (23.1%),85 (41.9%),56 (41.8%)
race_eth,NH Black,205 (32%),76 (44.7%),36 (26.9%),59 (29.1%),34 (25.4%)
race_eth,NH Other,56 (8.7%),13 (7.6%),14 (10.4%),20 (9.9%),9 (6.7%)
race_eth,NH White,172 (26.8%),45 (26.5%),53 (39.6%),39 (19.2%),35 (26.1%)
bmipct,<98.5,279 (43.5%),83 (48.8%),53 (39.6%),93 (45.8%),50 (37.3%)
bmipct,>=98.5,362 (56.5%),87 (51.2%),81 (60.4%),110 (54.2%),84 (62.7%)
