study_sex,variable,est,value,type,group
Female_search,bmi,mean,32.59845341759116,Continuous,NA
Female_search,bmi,sd,9.578661968438851,Continuous,NA
Female_search,bmi,median,32.153420378,Continuous,NA
Female_search,bmi,q25,26.772457635,Continuous,NA
Female_search,bmi,q75,38.015202656,Continuous,NA
Female_search,bmi,min,14.641738032,Continuous,NA
Female_search,bmi,max,88.085486242,Continuous,NA
Female_search,bmi,freq,181,Continuous,NA
Female_search,bmi,missing,0,Continuous,NA
Female_search,hba1c,mean,7.020441988950276,Continuous,NA
Female_search,hba1c,sd,1.9241655689918682,Continuous,NA
Female_search,hba1c,median,6.3,Continuous,NA
Female_search,hba1c,q25,5.7,Continuous,NA
Female_search,hba1c,q75,7.7,Continuous,NA
Female_search,hba1c,min,4.6,Continuous,NA
Female_search,hba1c,max,15,Continuous,NA
Female_search,hba1c,freq,181,Continuous,NA
Female_search,hba1c,missing,0,Continuous,NA
Female_search,cpeptidef,mean,3.5362762430939227,Continuous,NA
Female_search,cpeptidef,sd,2.115970465803976,Continuous,NA
Female_search,cpeptidef,median,3.29,Continuous,NA
Female_search,cpeptidef,q25,1.84,Continuous,NA
Female_search,cpeptidef,q75,4.8,Continuous,NA
Female_search,cpeptidef,min,0.11,Continuous,NA
Female_search,cpeptidef,max,11.36,Continuous,NA
Female_search,cpeptidef,freq,181,Continuous,NA
Female_search,cpeptidef,missing,0,Continuous,NA
Female_search,sbp,mean,112.38342541445635,Continuous,NA
Female_search,sbp,sd,12.098460071625304,Continuous,NA
Female_search,sbp,median,111.33333333,Continuous,NA
Female_search,sbp,q25,105.33333333,Continuous,NA
Female_search,sbp,q75,119.33333333,Continuous,NA
Female_search,sbp,min,84.666666667,Continuous,NA
Female_search,sbp,max,150.66666667,Continuous,NA
Female_search,sbp,freq,181,Continuous,NA
Female_search,sbp,missing,0,Continuous,NA
Female_search,dbp,mean,69.90681399630608,Continuous,NA
Female_search,dbp,sd,10.0349086484062,Continuous,NA
Female_search,dbp,median,70,Continuous,NA
Female_search,dbp,q25,62.666666667,Continuous,NA
Female_search,dbp,q75,76.666666667,Continuous,NA
Female_search,dbp,min,45.333333333,Continuous,NA
Female_search,dbp,max,103.33333333,Continuous,NA
Female_search,dbp,freq,181,Continuous,NA
Female_search,dbp,missing,0,Continuous,NA
Female_search,ldlc,mean,96.91160220994475,Continuous,NA
Female_search,ldlc,sd,29.759318394539058,Continuous,NA
Female_search,ldlc,median,96,Continuous,NA
Female_search,ldlc,q25,73,Continuous,NA
Female_search,ldlc,q75,114,Continuous,NA
Female_search,ldlc,min,40,Continuous,NA
Female_search,ldlc,max,231,Continuous,NA
Female_search,ldlc,freq,181,Continuous,NA
Female_search,ldlc,missing,0,Continuous,NA
Female_search,hdlc,mean,42.264088397790054,Continuous,NA
Female_search,hdlc,sd,9.796659457461802,Continuous,NA
Female_search,hdlc,median,41,Continuous,NA
Female_search,hdlc,q25,35,Continuous,NA
Female_search,hdlc,q75,48,Continuous,NA
Female_search,hdlc,min,16,Continuous,NA
Female_search,hdlc,max,70,Continuous,NA
Female_search,hdlc,freq,181,Continuous,NA
Female_search,hdlc,missing,0,Continuous,NA
Female_search,totalc,mean,165.0872093023256,Continuous,NA
Female_search,totalc,sd,40.031105731475755,Continuous,NA
Female_search,totalc,median,163.5,Continuous,NA
Female_search,totalc,q25,133.75,Continuous,NA
Female_search,totalc,q75,192,Continuous,NA
Female_search,totalc,min,88,Continuous,NA
Female_search,totalc,max,330,Continuous,NA
Female_search,totalc,freq,172,Continuous,NA
Female_search,totalc,missing,9,Continuous,NA
Female_search,insulinf,mean,NA,Continuous,NA
Female_search,insulinf,sd,NA,Continuous,NA
Female_search,insulinf,median,NA,Continuous,NA
Female_search,insulinf,q25,NA,Continuous,NA
Female_search,insulinf,q75,NA,Continuous,NA
