study,variable,est,value,type,group
SEARCH,bmi,mean,31.326360097324674,Continuous,NA
SEARCH,bmi,sd,10.121502410704933,Continuous,NA
SEARCH,bmi,median,31.307460705,Continuous,NA
SEARCH,bmi,q25,23.358148296,Continuous,NA
SEARCH,bmi,q75,37.522935136,Continuous,NA
SEARCH,bmi,min,13.695138501,Continuous,NA
SEARCH,bmi,max,89.012019185,Continuous,NA
SEARCH,bmi,freq,385,Continuous,NA
SEARCH,bmi,missing,0,Continuous,NA
SEARCH,hba1c,mean,7.144467532467533,Continuous,NA
SEARCH,hba1c,sd,1.85801551550146,Continuous,NA
SEARCH,hba1c,median,6.6,Continuous,NA
SEARCH,hba1c,q25,5.8,Continuous,NA
SEARCH,hba1c,q75,8.1,Continuous,NA
SEARCH,hba1c,min,4.6,Continuous,NA
SEARCH,hba1c,max,15,Continuous,NA
SEARCH,hba1c,freq,385,Continuous,NA
SEARCH,hba1c,missing,0,Continuous,NA
SEARCH,cpeptidef,mean,3.239381818181818,Continuous,NA
SEARCH,cpeptidef,sd,2.2143611009964164,Continuous,NA
SEARCH,cpeptidef,median,3,Continuous,NA
SEARCH,cpeptidef,q25,1.4,Continuous,NA
SEARCH,cpeptidef,q75,4.57,Continuous,NA
SEARCH,cpeptidef,min,0.05,Continuous,NA
SEARCH,cpeptidef,max,11.4,Continuous,NA
SEARCH,cpeptidef,freq,385,Continuous,NA
SEARCH,cpeptidef,missing,0,Continuous,NA
SEARCH,sbp,mean,113.52484848505662,Continuous,NA
SEARCH,sbp,sd,12.70754859320059,Continuous,NA
SEARCH,sbp,median,112.66666667,Continuous,NA
SEARCH,sbp,q25,105.33333333,Continuous,NA
SEARCH,sbp,q75,120.66666667,Continuous,NA
SEARCH,sbp,min,81.333333333,Continuous,NA
SEARCH,sbp,max,150.66666667,Continuous,NA
SEARCH,sbp,freq,385,Continuous,NA
SEARCH,sbp,missing,0,Continuous,NA
SEARCH,dbp,mean,70.32536796536415,Continuous,NA
SEARCH,dbp,sd,10.191886129074973,Continuous,NA
SEARCH,dbp,median,70,Continuous,NA
SEARCH,dbp,q25,63.333333333,Continuous,NA
SEARCH,dbp,q75,77.333333333,Continuous,NA
SEARCH,dbp,min,40,Continuous,NA
SEARCH,dbp,max,107.33333333,Continuous,NA
SEARCH,dbp,freq,385,Continuous,NA
SEARCH,dbp,missing,0,Continuous,NA
SEARCH,ldlc,mean,95.23220779220779,Continuous,NA
SEARCH,ldlc,sd,28.712740376994844,Continuous,NA
SEARCH,ldlc,median,94,Continuous,NA
SEARCH,ldlc,q25,74,Continuous,NA
SEARCH,ldlc,q75,111,Continuous,NA
SEARCH,ldlc,min,36,Continuous,NA
SEARCH,ldlc,max,231,Continuous,NA
SEARCH,ldlc,freq,385,Continuous,NA
SEARCH,ldlc,missing,0,Continuous,NA
SEARCH,hdlc,mean,42.27688311688312,Continuous,NA
SEARCH,hdlc,sd,11.31578500413207,Continuous,NA
SEARCH,hdlc,median,41,Continuous,NA
SEARCH,hdlc,q25,34,Continuous,NA
SEARCH,hdlc,q75,49,Continuous,NA
SEARCH,hdlc,min,13,Continuous,NA
SEARCH,hdlc,max,81,Continuous,NA
SEARCH,hdlc,freq,385,Continuous,NA
SEARCH,hdlc,missing,0,Continuous,NA
SEARCH,totalc,mean,163.70027247956403,Continuous,NA
SEARCH,totalc,sd,37.45799213504296,Continuous,NA
SEARCH,totalc,median,159,Continuous,NA
SEARCH,totalc,q25,138.5,Continuous,NA
SEARCH,totalc,q75,183,Continuous,NA
SEARCH,totalc,min,88,Continuous,NA
SEARCH,totalc,max,330,Continuous,NA
SEARCH,totalc,freq,367,Continuous,NA
SEARCH,totalc,missing,18,Continuous,NA
SEARCH,insulinf,mean,NA,Continuous,NA
SEARCH,insulinf,sd,NA,Continuous,NA
SEARCH,insulinf,median,NA,Continuous,NA
SEARCH,insulinf,q25,NA,Continuous,NA
SEARCH,insulinf,q75,NA,Continuous,NA
SEARCH,insulinf,min,Inf,Continuous,NA
SEARCH,insulinf,max,-Inf,Continuous,NA
SEARCH,insulinf,freq,0,Continuous,NA
SEARCH,insulinf,missing,385,Continuous,NA
SEARCH,tgl,mean,NA,Continuous,NA
SEARCH,tgl,sd,NA,Continuous,NA
SEARCH,tgl,median,NA,Continuous,NA
SEARCH,tgl,q25,NA,Continuous,NA
SEARCH,tgl,q75,NA,Continuous,NA
SEARCH,tgl,min,Inf,Continuous,NA
SEARCH,tgl,max,-Inf,Continuous,NA
SEARCH,tgl,freq,0,Continuous,NA
SEARCH,tgl,missing,385,Continuous,NA
SEARCH,glucosef,mean,NA,Continuous,NA
SEARCH,glucosef,sd,NA,Continuous,NA
SEARCH,glucosef,median,NA,Continuous,NA
SEARCH,glucosef,q25,NA,Continuous,NA
SEARCH,glucosef,q75,NA,Continuous,NA
SEARCH,glucosef,min,Inf,Continuous,NA
SEARCH,glucosef,max,-Inf,Continuous,NA
SEARCH,glucosef,freq,0,Continuous,NA
SEARCH,glucosef,missing,385,Continuous,NA
TODAY,bmi,mean,34.53567804154303,Continuous,NA
TODAY,bmi,sd,2.604568535946974,Continuous,NA
TODAY,bmi,median,33.7775,Continuous,NA
TODAY,bmi,q25,32,Continuous,NA
TODAY,bmi,q75,38,Continuous,NA
