term,estimate,std.error,statistic,p.value,outcome
(Intercept),-2.5383570404507405,0.3487453766617162,52.97713896345358,3.375077994860476e-13,survey_abnormal
clusteryIDD,-0.1105776474138975,0.3489169957251313,0.10043623934445037,0.7513067565388872,survey_abnormal
clusteryIRD,0.16310312933190896,0.2709432508359025,0.3623830806582685,0.5471857031802067,survey_abnormal
age_category>15,0.5700329023540358,0.2869758823688983,3.945563597479117,0.04699510910068638,survey_abnormal
age_category14-15,0.3799592876479477,0.33630298575444606,1.2764760873165413,0.2585552768325168,survey_abnormal
female,0.24450209606468432,0.26391749723257474,0.8582796294298538,0.354220573248583,survey_abnormal
race_ethNH Black,0.1654546418344185,0.292028864093648,0.3210009762878791,0.5710067149663836,survey_abnormal
race_ethHispanic,-0.7961406629381839,0.37788230402761813,4.438809459228178,0.03513073741628414,survey_abnormal
race_ethNH Other,-0.24786981465551372,0.4981591437491894,0.24757744208275914,0.6187860641504423,survey_abnormal
(Intercept),-1.6715669848144592,0.2045542488529324,66.77756212087404,3.3306690738754696e-16,exam_abnormal
clusteryIDD,0.9762624443620479,0.1805410952551387,29.24024587054156,6.393727780551473e-8,exam_abnormal
clusteryIRD,0.6337594992505019,0.17809909405871072,12.662677412453743,3.730276374414032e-4,exam_abnormal
age_category>15,0.4027174057848306,0.1413273906030463,8.11985212779043,0.004378312995631295,exam_abnormal
age_category14-15,-0.5012278722052175,0.23623646230307854,4.501700166578029,0.03386117080819073,exam_abnormal
female,-0.10490835995568619,0.13810596828309754,0.577025892181966,0.4474804431389352,exam_abnormal
race_ethNH Black,0.18348691639494627,0.15322957979041074,1.4339202010467706,0.23112572360780403,exam_abnormal
race_ethHispanic,-0.38536141048654926,0.21296820413272363,3.2742128485146456,0.07037667992831598,exam_abnormal
race_ethNH Other,-0.3672131994059353,0.32813101305535897,1.2523969698965178,0.26309516237500774,exam_abnormal
(Intercept),-1.4234881680332512,0.1731796352571223,67.5638022434497,2.220446049250313e-16,combined_abnormal
clusteryIDD,0.7120390031466037,0.15305611811799605,21.642437813821545,3.285025679922171e-6,combined_abnormal
clusteryIRD,0.506365198612697,0.14556235480923393,12.101231088806381,5.038854316496977e-4,combined_abnormal
age_category>15,0.33505153772037316,0.1255000035338624,7.127475856365409,0.007591151789290929,combined_abnormal
age_category14-15,-0.30632474761715095,0.1898649842664883,2.603001470638488,0.10666154179962328,combined_abnormal
female,0.006462989732475859,0.12127463190226576,0.0028400566422454167,0.9574991093619875,combined_abnormal
race_ethNH Black,0.1291096066792769,0.1342652909250499,0.9246760342967288,0.3362501862892262,combined_abnormal
race_ethHispanic,-0.3495083467069567,0.18199068266746368,3.6882198022116457,0.05479807336321174,combined_abnormal
race_ethNH Other,-0.1440770733390173,0.2574530129226613,0.31317984057729986,0.5757354317858133,combined_abnormal
