sex_cluster,variable,est,value,type,group
Female_yMOD,bmi,mean,33.398532577966854,Continuous,NA
Female_yMOD,bmi,sd,3.787883247781416,Continuous,NA
Female_yMOD,bmi,median,32,Continuous,NA
Female_yMOD,bmi,q25,32,Continuous,NA
Female_yMOD,bmi,q75,36.0834,Continuous,NA
Female_yMOD,bmi,min,19.677066294,Continuous,NA
Female_yMOD,bmi,max,49.893605236,Continuous,NA
Female_yMOD,bmi,freq,181,Continuous,NA
Female_yMOD,bmi,missing,0,Continuous,NA
Female_yMOD,hba1c,mean,5.898342541436464,Continuous,NA
Female_yMOD,hba1c,sd,0.8256630425247838,Continuous,NA
Female_yMOD,hba1c,median,5.8,Continuous,NA
Female_yMOD,hba1c,q25,5.4,Continuous,NA
Female_yMOD,hba1c,q75,6.2,Continuous,NA
Female_yMOD,hba1c,min,4.3,Continuous,NA
Female_yMOD,hba1c,max,10.9,Continuous,NA
Female_yMOD,hba1c,freq,181,Continuous,NA
Female_yMOD,hba1c,missing,0,Continuous,NA
Female_yMOD,cpeptidef,mean,3.573193370165746,Continuous,NA
Female_yMOD,cpeptidef,sd,1.4490893658356698,Continuous,NA
Female_yMOD,cpeptidef,median,3.4,Continuous,NA
Female_yMOD,cpeptidef,q25,2.65,Continuous,NA
Female_yMOD,cpeptidef,q75,4.41,Continuous,NA
Female_yMOD,cpeptidef,min,0.5,Continuous,NA
Female_yMOD,cpeptidef,max,8,Continuous,NA
Female_yMOD,cpeptidef,freq,181,Continuous,NA
Female_yMOD,cpeptidef,missing,0,Continuous,NA
Female_yMOD,sbp,mean,107.46058931857901,Continuous,NA
Female_yMOD,sbp,sd,8.508312197159338,Continuous,NA
Female_yMOD,sbp,median,107.5,Continuous,NA
Female_yMOD,sbp,q25,102,Continuous,NA
Female_yMOD,sbp,q75,112.66666667,Continuous,NA
Female_yMOD,sbp,min,84.666666667,Continuous,NA
Female_yMOD,sbp,max,136.66666667,Continuous,NA
Female_yMOD,sbp,freq,181,Continuous,NA
Female_yMOD,sbp,missing,0,Continuous,NA
Female_yMOD,dbp,mean,63.74014732965967,Continuous,NA
Female_yMOD,dbp,sd,7.033926355769286,Continuous,NA
Female_yMOD,dbp,median,63.5,Continuous,NA
Female_yMOD,dbp,q25,59.5,Continuous,NA
Female_yMOD,dbp,q75,68.5,Continuous,NA
Female_yMOD,dbp,min,46,Continuous,NA
Female_yMOD,dbp,max,80.666666667,Continuous,NA
Female_yMOD,dbp,freq,181,Continuous,NA
Female_yMOD,dbp,missing,0,Continuous,NA
Female_yMOD,ldlc,mean,78.59116022099448,Continuous,NA
Female_yMOD,ldlc,sd,21.043571973982615,Continuous,NA
Female_yMOD,ldlc,median,78,Continuous,NA
Female_yMOD,ldlc,q25,63,Continuous,NA
Female_yMOD,ldlc,q75,93,Continuous,NA
Female_yMOD,ldlc,min,27,Continuous,NA
Female_yMOD,ldlc,max,135,Continuous,NA
Female_yMOD,ldlc,freq,181,Continuous,NA
Female_yMOD,ldlc,missing,0,Continuous,NA
Female_yMOD,hdlc,mean,37.6353591160221,Continuous,NA
Female_yMOD,hdlc,sd,7.184061719319084,Continuous,NA
Female_yMOD,hdlc,median,37,Continuous,NA
Female_yMOD,hdlc,q25,33,Continuous,NA
Female_yMOD,hdlc,q75,42,Continuous,NA
Female_yMOD,hdlc,min,16,Continuous,NA
Female_yMOD,hdlc,max,59,Continuous,NA
Female_yMOD,hdlc,freq,181,Continuous,NA
Female_yMOD,hdlc,missing,0,Continuous,NA
Female_yMOD,totalc,mean,138.65745856353593,Continuous,NA
Female_yMOD,totalc,sd,26.01652919362988,Continuous,NA
Female_yMOD,totalc,median,137,Continuous,NA
Female_yMOD,totalc,q25,120,Continuous,NA
Female_yMOD,totalc,q75,154,Continuous,NA
Female_yMOD,totalc,min,77,Continuous,NA
Female_yMOD,totalc,max,242,Continuous,NA
Female_yMOD,totalc,freq,181,Continuous,NA
Female_yMOD,totalc,missing,0,Continuous,NA
Female_yMOD,insulinf,mean,26.29126984126984,Continuous,NA
Female_yMOD,insulinf,sd,16.08893294083244,Continuous,NA
Female_yMOD,insulinf,median,22.45,Continuous,NA
Female_yMOD,insulinf,q25,15,Continuous,NA
Female_yMOD,insulinf,q75,35.025000000000006,Continuous,NA
Female_yMOD,insulinf,min,2.2,Continuous,NA
Female_yMOD,insulinf,max,102,Continuous,NA
Female_yMOD,insulinf,freq,126,Continuous,NA
Female_yMOD,insulinf,missing,55,Continuous,NA
Female_yMOD,tgl,mean,101.8267716535433,Continuous,NA
Female_yMOD,tgl,sd,56.196239845993226,Continuous,NA
Female_yMOD,tgl,median,86,Continuous,NA
Female_yMOD,tgl,q25,63.5,Continuous,NA
Female_yMOD,tgl,q75,125,Continuous,NA
Female_yMOD,tgl,min,27,Continuous,NA
Female_yMOD,tgl,max,366,Continuous,NA
Female_yMOD,tgl,freq,127,Continuous,NA
Female_yMOD,tgl,missing,54,Continuous,NA
Female_yMOD,glucosef,mean,100.14173228346456,Continuous,NA
Female_yMOD,glucosef,sd,17.132872149365067,Continuous,NA
Female_yMOD,glucosef,median,95,Continuous,NA
Female_yMOD,glucosef,q25,89,Continuous,NA
Female_yMOD,glucosef,q75,109.5,Continuous,NA
Female_yMOD,glucosef,min,70,Continuous,NA
Female_yMOD,glucosef,max,162,Continuous,NA
Female_yMOD,glucosef,freq,127,Continuous,NA
Female_yMOD,glucosef,missing,54,Continuous,NA
Female_ySIDD,bmi,mean,39.39901141818518,Continuous,NA
Female_ySIDD,bmi,sd,7.495485471647483,Continuous,NA
Female_ySIDD,bmi,median,38,Continuous,NA
Female_ySIDD,bmi,q25,35.52781672675,Continuous,NA
Female_ySIDD,bmi,q75,41.962956201749996,Continuous,NA
Female_ySIDD,bmi,min,28.305693225,Continuous,NA
Female_ySIDD,bmi,max,88.085486242,Continuous,NA
Female_ySIDD,bmi,freq,108,Continuous,NA
Female_ySIDD,bmi,missing,0,Continuous,NA
Female_ySIDD,hba1c,mean,6.656481481481482,Continuous,NA
Female_ySIDD,hba1c,sd,1.38788302101715,Continuous,NA
Female_ySIDD,hba1c,median,6.2,Continuous,NA
Female_ySIDD,hba1c,q25,5.8,Continuous,NA
Female_ySIDD,hba1c,q75,7.025,Continuous,NA
Female_ySIDD,hba1c,min,5,Continuous,NA
Female_ySIDD,hba1c,max,11.6,Continuous,NA
Female_ySIDD,hba1c,freq,108,Continuous,NA
Female_ySIDD,hba1c,missing,0,Continuous,NA
Female_ySIDD,cpeptidef,mean,5.2967407407407405,Continuous,NA
Female_ySIDD,cpeptidef,sd,1.6113473225343746,Continuous,NA
Female_ySIDD,cpeptidef,median,5.205,Continuous,NA
Female_ySIDD,cpeptidef,q25,4.27,Continuous,NA
Female_ySIDD,cpeptidef,q75,6.36,Continuous,NA
Female_ySIDD,cpeptidef,min,0.48,Continuous,NA
Female_ySIDD,cpeptidef,max,11.3,Continuous,NA
Female_ySIDD,cpeptidef,freq,108,Continuous,NA
Female_ySIDD,cpeptidef,missing,0,Continuous,NA
Female_ySIDD,sbp,mean,121.67901234604629,Continuous,NA
Female_ySIDD,sbp,sd,10.592364451861943,Continuous,NA
Female_ySIDD,sbp,median,120,Continuous,NA
Female_ySIDD,sbp,q25,114.66666667,Continuous,NA
Female_ySIDD,sbp,q75,127,Continuous,NA
Female_ySIDD,sbp,min,97.333333333,Continuous,NA
Female_ySIDD,sbp,max,156.5,Continuous,NA
Female_ySIDD,sbp,freq,108,Continuous,NA
