study_sex,variable,est,value,type,group
Female_search,bmi,mean,34.50976838346243,Continuous,NA
Female_search,bmi,sd,8.902207989522688,Continuous,NA
Female_search,bmi,median,33.357314647,Continuous,NA
Female_search,bmi,q25,28.428998139,Continuous,NA
Female_search,bmi,q75,39.658876902,Continuous,NA
Female_search,bmi,min,16.404171149,Continuous,NA
Female_search,bmi,max,88.085486242,Continuous,NA
Female_search,bmi,freq,173,Continuous,NA
Female_search,bmi,missing,0,Continuous,NA
Female_search,hba1c,mean,6.96242774566474,Continuous,NA
Female_search,hba1c,sd,1.829674294860212,Continuous,NA
Female_search,hba1c,median,6.2,Continuous,NA
Female_search,hba1c,q25,5.7,Continuous,NA
Female_search,hba1c,q75,7.6,Continuous,NA
Female_search,hba1c,min,4.6,Continuous,NA
Female_search,hba1c,max,12.8,Continuous,NA
Female_search,hba1c,freq,173,Continuous,NA
Female_search,hba1c,missing,0,Continuous,NA
Female_search,cpeptidef,mean,3.7293872832369943,Continuous,NA
Female_search,cpeptidef,sd,1.9719358730728953,Continuous,NA
Female_search,cpeptidef,median,3.48,Continuous,NA
Female_search,cpeptidef,q25,2.24,Continuous,NA
Female_search,cpeptidef,q75,4.876,Continuous,NA
Female_search,cpeptidef,min,0.11,Continuous,NA
Female_search,cpeptidef,max,11.3,Continuous,NA
Female_search,cpeptidef,freq,173,Continuous,NA
Female_search,cpeptidef,missing,0,Continuous,NA
Female_search,sbp,mean,113.25163776511445,Continuous,NA
Female_search,sbp,sd,12.132083384339564,Continuous,NA
Female_search,sbp,median,112.66666667,Continuous,NA
Female_search,sbp,q25,106.66666667,Continuous,NA
Female_search,sbp,q75,119.33333333,Continuous,NA
Female_search,sbp,min,79.333333333,Continuous,NA
Female_search,sbp,max,150.66666667,Continuous,NA
Female_search,sbp,freq,173,Continuous,NA
Female_search,sbp,missing,0,Continuous,NA
Female_search,dbp,mean,70.55183044316416,Continuous,NA
Female_search,dbp,sd,9.807317684064046,Continuous,NA
Female_search,dbp,median,70,Continuous,NA
Female_search,dbp,q25,63.333333333,Continuous,NA
Female_search,dbp,q75,77.333333333,Continuous,NA
Female_search,dbp,min,45.333333333,Continuous,NA
Female_search,dbp,max,103.33333333,Continuous,NA
Female_search,dbp,freq,173,Continuous,NA
Female_search,dbp,missing,0,Continuous,NA
Female_search,ldlc,mean,99.90867052023121,Continuous,NA
Female_search,ldlc,sd,30.041331702031947,Continuous,NA
Female_search,ldlc,median,100,Continuous,NA
