outcome,term,estimate,std.error
BMI,age_category>15,2.2944377878170545,0.5806458545870965
BMI,age_category14-15,1.5304195131612726,0.6752905705872472
HbA1c,age_category>15,0.40442612244898335,0.1420131815057769
HbA1c,age_category14-15,-0.00828291864690924,0.16516119354394088
Fasting C-peptide,age_category>15,0.1670187755102043,0.1663672703145058
Fasting C-peptide,age_category14-15,0.04933603578417662,0.19348497541176116
SBP,age_category>15,6.473575510157993,1.0066464662715011
SBP,age_category14-15,5.279643090031066,1.170728872371811
DBP,age_category>15,5.203902040841469,0.8499822754041945
DBP,age_category14-15,2.5342801230175693,0.988528569027522
LDL Cholesterol,age_category>15,6.887755102040867,2.4981910107649092
LDL Cholesterol,age_category14-15,0.4814537321778159,2.905393743480722
HDL Cholesterol,age_category>15,-1.6747755102040771,0.8220813633309116
HDL Cholesterol,age_category14-15,-0.9850768800670883,0.9560798351133362
