variable,group,Total,Female_yMOD,Male_yMOD,Female_ySIDD,Male_ySIDD,Female_ySIRD,Male_ySIRD
bmi,NA,34.6 (6.5),33.4 (3.8),33.2 (3.8),30.6 (5.2),30.3 (6.4),39.4 (7.5),39 (7.2)
hba1c,NA,"6 (5.5, 6.8)","5.8 (5.4, 6.2)","5.7 (5.3, 6.2)","6.5 (5.8, 8.1)","6.6 (5.9, 8)","6.2 (5.8, 7)","6.4 (5.9, 7.5)"
cpeptidef,NA,3.8 (1.8),3.6 (1.4),3.3 (1.3),2.4 (1.1),2.2 (1.1),5.3 (1.6),5.3 (1.9)
sbp,NA,114.3 (11.6),107.5 (8.5),111.5 (10),110.9 (10.2),114.2 (9.1),121.7 (10.6),125.7 (9.1)
dbp,NA,69 (9.8),63.7 (7),64.8 (8.1),69.3 (8.1),71 (8.8),75.9 (9.2),75.4 (9.9)
ldlc,NA,91.1 (28.2),78.6 (21),80.2 (21.6),106.9 (27.1),107.6 (35.7),98.8 (29.4),96.1 (26.7)
hdlc,NA,39.2 (9.2),37.6 (7.2),35.5 (6.3),48.6 (9.6),47.3 (9.1),39.4 (7.6),33.4 (7.5)
totalc,NA,155.1 (36.2),138.7 (26),137.9 (27.6),177.9 (31.2),175.9 (43.5),166.5 (38.5),164 (35.6)
insulinf,NA,30.1 (22.2),26.3 (16.1),25 (21.3),21.6 (11.1),21.3 (11.5),45.2 (22.4),46.6 (33.7)
tgl,NA,107.7 (67.1),101.8 (56.2),95.9 (60.2),85.1 (42.9),90.1 (44),135.2 (76),146.8 (100.7)
glucosef,NA,106.5 (21.3),100.1 (17.1),103.8 (19.7),114 (22.8),113.9 (31),114.8 (23),114.7 (22.4)
female,NA,640 (58.8%),181 (100%),118 (0%),87 (100%),53 (0%),108 (100%),93 (0%)
insulin,NA,638 (21%),180 (8.3%),118 (14.4%),87 (41.4%),53 (37.7%),108 (26.9%),92 (18.5%)
metformin,NA,638 (85.4%),180 (90%),118 (92.4%),87 (75.9%),53 (69.8%),108 (85.2%),92 (85.9%)
cluster,yMOD,299 (46.7%),181 (100%),118 (100%),NA,NA,NA,NA
cluster,ySIDD,140 (21.9%),NA,NA,87 (100%),53 (100%),NA,NA
cluster,ySIRD,201 (31.4%),NA,NA,NA,NA,108 (100%),93 (100%)
study,SEARCH,303 (47.3%),54 (29.8%),35 (29.7%),58 (66.7%),37 (69.8%),61 (56.5%),58 (62.4%)
study,TODAY,337 (52.7%),127 (70.2%),83 (70.3%),29 (33.3%),16 (30.2%),47 (43.5%),35 (37.6%)
dmduration_category,<=5 months,640 (100%),181 (100%),118 (100%),87 (100%),53 (100%),108 (100%),93 (100%)
age_category,14-15,139 (21.7%),33 (18.2%),33 (28%),22 (25.3%),10 (18.9%),21 (19.4%),20 (21.5%)
age_category,<=13,243 (38%),91 (50.3%),26 (22%),34 (39.1%),19 (35.8%),48 (44.4%),25 (26.9%)
age_category,>15,258 (40.3%),57 (31.5%),59 (50%),31 (35.6%),24 (45.3%),39 (36.1%),48 (51.6%)
race_eth,Hispanic,215 (33.6%),76 (42%),40 (33.9%),27 (31%),19 (35.8%),26 (24.1%),27 (29%)
race_eth,NH Black,209 (32.7%),51 (28.2%),25 (21.2%),38 (43.7%),18 (34%),44 (40.7%),33 (35.5%)
race_eth,NH Other,58 (9.1%),18 (9.9%),10 (8.5%),6 (6.9%),4 (7.5%),8 (7.4%),12 (12.9%)
race_eth,NH White,158 (24.7%),36 (19.9%),43 (36.4%),16 (18.4%),12 (22.6%),30 (27.8%),21 (22.6%)
